tree_id,plant_type,species
30086,Tree,Pinus radiata :: Monterey Pine
30084,Tree,Pinus radiata :: Monterey Pine
30080,Tree,Pinus radiata :: Monterey Pine
30081,Tree,Pinus radiata :: Monterey Pine
30073,Tree,Pinus radiata :: Monterey Pine
30075,Tree,Pinus radiata :: Monterey Pine
30077,Tree,Pinus radiata :: Monterey Pine
30089,Tree,Pinus radiata :: Monterey Pine
30078,Tree,Pinus radiata :: Monterey Pine
30090,Tree,Pinus radiata :: Monterey Pine
30085,Tree,Pinus radiata :: Monterey Pine
30087,Tree,Pinus radiata :: Monterey Pine
30065,Tree,Pinus radiata :: Monterey Pine
30062,Tree,Pinus radiata :: Monterey Pine
30064,Tree,Pinus radiata :: Monterey Pine
30066,Tree,Pinus radiata :: Monterey Pine
30055,Tree,Pinus radiata :: Monterey Pine
30058,Tree,Pinus radiata :: Monterey Pine
30059,Tree,Pinus radiata :: Monterey Pine
30057,Tree,Pinus radiata :: Monterey Pine
30061,Tree,Pinus radiata :: Monterey Pine
30063,Tree,Pinus radiata :: Monterey Pine
16048,Tree,Pyrus calleryana :: Ornamental Pear
16003,Tree,Pyrus calleryana :: Ornamental Pear
15904,Tree,Tristaniopsis laurina :: Swamp Myrtle
15902,Tree,Tristaniopsis laurina :: Swamp Myrtle
97224,Tree,Acacia melanoxylon :: Blackwood Acacia
23391,Tree,Corymbia ficifolia :: Red Flowering Gum
8348,Tree,Pinus canariensis :: Canary Island Pine
8532,Tree,Pinus canariensis :: Canary Island Pine
8536,Tree,Pinus canariensis :: Canary Island Pine
8395,Tree,Pinus canariensis :: Canary Island Pine
8471,Tree,Pinus canariensis :: Canary Island Pine
8475,Tree,Pinus canariensis :: Canary Island Pine
8534,Tree,Cupressus macrocarpa :: Monterey Cypress
8580,Tree,Cupressus macrocarpa :: Monterey Cypress
8585,Tree,Cupressus macrocarpa :: Monterey Cypress
8396,Tree,Cupressus macrocarpa :: Monterey Cypress
19431,Tree,Cupressus macrocarpa :: Monterey Cypress
1821,Tree,Washingtonia robusta :: Mexican Fan Palm
4715,Tree,Liquidambar styraciflua :: American Sweet Gum
4717,Tree,Liquidambar styraciflua :: American Sweet Gum
24383,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24379,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24815,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24381,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24384,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24385,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24386,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
24387,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
23488,Tree,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry
23489,Tree,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry
23340,Tree,Quercus suber :: Cork Oak
4634,Tree,Liquidambar styraciflua :: American Sweet Gum
4669,Tree,Liquidambar styraciflua :: American Sweet Gum
16189,Tree,Pyrus calleryana :: Ornamental Pear
15905,Tree,Tristaniopsis laurina :: Swamp Myrtle
16202,Tree,Trachycarpus fortunei :: Windmill Palm
16201,Tree,Trachycarpus fortunei :: Windmill Palm
16227,Tree,Trachycarpus fortunei :: Windmill Palm
16228,Tree,Trachycarpus fortunei :: Windmill Palm
28414,Tree,Trachycarpus fortunei :: Windmill Palm
16286,Tree,Trachycarpus fortunei :: Windmill Palm
16314,Tree,Trachycarpus fortunei :: Windmill Palm
16312,Tree,Trachycarpus fortunei :: Windmill Palm
16313,Tree,Trachycarpus fortunei :: Windmill Palm
16285,Tree,Trachycarpus fortunei :: Windmill Palm
16284,Tree,Trachycarpus fortunei :: Windmill Palm
8344,Tree,Pinus canariensis :: Canary Island Pine
28413,Tree,Washingtonia robusta :: Mexican Fan Palm
1798,Tree,Washingtonia robusta :: Mexican Fan Palm
1801,Tree,Washingtonia robusta :: Mexican Fan Palm
1802,Tree,Washingtonia robusta :: Mexican Fan Palm
1803,Tree,Washingtonia robusta :: Mexican Fan Palm
1800,Tree,Washingtonia robusta :: Mexican Fan Palm
1810,Tree,Washingtonia robusta :: Mexican Fan Palm
16203,Tree,Chamaerops humilis :: Mediterranean Fan Palm
16215,Tree,Chamaerops humilis :: Mediterranean Fan Palm
16245,Tree,Chamaerops humilis :: Mediterranean Fan Palm
16246,Tree,Chamaerops humilis :: Mediterranean Fan Palm
4667,Tree,Liquidambar styraciflua :: American Sweet Gum
4670,Tree,Liquidambar styraciflua :: American Sweet Gum
16008,Tree,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford
4674,Tree,Liquidambar styraciflua :: American Sweet Gum
8339,Tree,Pinus canariensis :: Canary Island Pine
16214,Tree,Washingtonia robusta :: Mexican Fan Palm
16261,Tree,Washingtonia robusta :: Mexican Fan Palm
16263,Tree,Washingtonia robusta :: Mexican Fan Palm
16262,Tree,Washingtonia robusta :: Mexican Fan Palm
16270,Tree,Washingtonia robusta :: Mexican Fan Palm
16269,Tree,Washingtonia robusta :: Mexican Fan Palm
16289,Tree,Washingtonia robusta :: Mexican Fan Palm
16271,Tree,Chamaerops humilis :: Mediterranean Fan Palm
16309,Tree,Chamaerops humilis :: Mediterranean Fan Palm
16310,Tree,Chamaerops humilis :: Mediterranean Fan Palm
25081,Tree,Phoenix dactylifera :: Date Palm
25053,Tree,Washingtonia filifera :: California Fan Palm
26685,Tree,Liquidambar styraciflua :: American Sweet Gum
24378,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
27482,Tree,Phoenix canariensis :: Canary Island Date Palm
8340,Tree,Pinus canariensis :: Canary Island Pine
25499,Tree,Phoenix canariensis :: Canary Island Date Palm
25500,Tree,Phoenix canariensis :: Canary Island Date Palm
25497,Tree,Phoenix canariensis :: Canary Island Date Palm
25496,Tree,Phoenix canariensis :: Canary Island Date Palm
25498,Tree,Phoenix canariensis :: Canary Island Date Palm
2150,Tree,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus
25049,Tree,Washingtonia robusta :: Mexican Fan Palm
24962,Tree,Phoenix canariensis :: Canary Island Date Palm
357,Tree,Tristaniopsis laurina :: Swamp Myrtle
11821,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
9375,Tree,Maytenus boaria :: Mayten
18465,Tree,Ficus nitida :: Laurel Fig
17608,Tree,Ulmus parvifolia :: Chinese Elm
14472,Tree,Ginkgo biloba :: Maidenhair Tree
10100,Tree,Prunus cerasifera :: Cherry Plum
1237,Tree,Acer buergeranum :: Trident Maple
25971,Tree,Melaleuca quinquenervia :: Cajeput
225,Tree,Agonis flexuosa :: Peppermint Willow
228,Tree,Agonis flexuosa :: Peppermint Willow
333,Tree,Lophostemon confertus :: Brisbane Box
24355,Tree,Lophostemon confertus :: Brisbane Box
4703,Tree,Lophostemon confertus :: Brisbane Box
15049,Tree,Prunus serrulata :: Ornamental Cherry
347,Tree,Tristaniopsis laurina :: Swamp Myrtle
369,Tree,Acacia melanoxylon :: Blackwood Acacia
9376,Tree,Acacia melanoxylon :: Blackwood Acacia
11230,Tree,Eucalyptus sideroxylon :: Red Ironbark
11231,Tree,Eucalyptus sideroxylon :: Red Ironbark
332,Tree,Corymbia ficifolia :: Red Flowering Gum
331,Tree,Corymbia ficifolia :: Red Flowering Gum
28635,Tree,Washingtonia robusta :: Mexican Fan Palm
28634,Tree,Washingtonia robusta :: Mexican Fan Palm
11223,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
9345,Tree,Callistemon viminalis :: Weeping Bottlebrush
320,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
289,Tree,Platanus x hispanica :: Sycamore: London Plane
290,Tree,Platanus x hispanica :: Sycamore: London Plane
11225,Tree,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus
11226,Tree,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus
11255,Tree,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus
102508,Tree,Acer rubrum :: Red Maple
102507,Tree,Acer rubrum :: Red Maple
338,Tree,Tristaniopsis laurina :: Swamp Myrtle
102513,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
102510,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
102509,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
102514,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
102511,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
83989,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
10139,Tree,Jacaranda mimosifolia :: Jacaranda
27064,Tree,Lagunaria patersonii :: Primrose Tree
23164,Tree,Lophostemon confertus :: Brisbane Box
10015,Tree,Tristaniopsis laurina :: Swamp Myrtle
29877,Tree,Pittosporum undulatum :: Victorian Box
230413,Tree,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia
355,Tree,Tristaniopsis laurina :: Swamp Myrtle
360,Tree,Tristaniopsis laurina :: Swamp Myrtle
9324,Tree,Tristaniopsis laurina :: Swamp Myrtle
12817,Tree,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm
5394,Tree,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia
26186,Tree,Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair
9253,Tree,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant'
1318,Tree,Tree(s) ::
1317,Tree,Tree(s) ::
984,Tree,Tree(s) ::
22801,Tree,Tree(s) ::
26848,Tree,Tree(s) ::
26847,Tree,Tree(s) ::
26849,Tree,Tree(s) ::
29527,Tree,Tristania conferta ::
28680,Tree,Acer rubrum :: Red Maple
1221,Tree,Acer rubrum :: Red Maple
10749,Tree,Quercus suber :: Cork Oak
10760,Tree,Quercus suber :: Cork Oak
10823,Tree,Quercus suber :: Cork Oak
10829,Tree,Quercus suber :: Cork Oak
10824,Tree,Quercus suber :: Cork Oak
10879,Tree,Quercus suber :: Cork Oak
10876,Tree,Quercus suber :: Cork Oak
1243,Tree,Quercus suber :: Cork Oak
10777,Tree,Quercus suber :: Cork Oak
10795,Tree,Quercus suber :: Cork Oak
10820,Tree,Quercus suber :: Cork Oak
10791,Tree,Quercus suber :: Cork Oak
10782,Tree,Quercus suber :: Cork Oak
26705,Tree,Quercus suber :: Cork Oak
12246,Tree,Ficus nitida :: Laurel Fig
12245,Tree,Ficus nitida :: Laurel Fig
4709,Tree,Ficus nitida :: Laurel Fig
